territory,group,sex,age_group,age_low,year,deaths,final_pred,final_ci_low,final_ci_high,excess,excess_low,excess_high,trend_pred,mean_pred,lc_pred,trend_ci_low,trend_ci_up,mean_ci_low,mean_ci_up,lc_ci_low,lc_ci_up
Iranian Azerbaijan,Neighbors,Female,65 - 69,65,2020,2681.285714,1626.564873,1268.494518,1751.694544,1054.720842,929.59117,1412.791196,1626.564873,1403.885714,1496.532,1510.373651,1751.694544,1268.494518,1553.727723,1343,1686
Iranian Azerbaijan,Neighbors,Female,70 - 74,70,2020,3023.285714,1962.82138,1700.916611,2191.025731,1060.464334,832.2599834,1322.369103,1962.82138,1813,1867.052424,1758.385453,2191.025731,1700.916611,1932.469222,1731,1994
Iranian Azerbaijan,Neighbors,Female,75 - 79,75,2020,3386.285714,2397.171429,1974.600628,2585.127293,989.1142857,801.1584213,1411.685086,2150.892341,2397.171429,2262.186317,1974.600628,2342.923322,2222.8812,2585.127293,2053,2481
Iranian Azerbaijan,Neighbors,Female,80+,99,2020,10729.28571,8440.174729,6790.455489,8702,2289.110986,2027.285714,3938.830225,8440.174729,7407.885714,7888.642424,8196.324494,8691.279793,6790.455489,8081.456515,7173,8702
Iranian Azerbaijan,Neighbors,Male,0 - 4,0,2020,597.5714286,809.0571429,598.8087488,930.516231,-211.4857143,-332.9448024,-1.237320234,653.5534557,809.0571429,711.6032119,598.8087488,713.3030709,703.4519535,930.516231,613,818
Iranian Azerbaijan,Neighbors,Male,May-14,5,2020,310.4285714,286.7714286,195.5067578,364.211628,23.65714285,-53.78305653,114.9218136,266.844214,286.7714286,271.924282,195.5067578,364.211628,257.1162348,319.8469841,244,311
Iranian Azerbaijan,Neighbors,Male,15 - 19,15,2020,309.2857143,382.7149492,284.5400106,462.3096359,-73.42923492,-153.0239216,24.74570365,382.7149492,323.6285714,356.8104666,316.8238794,462.3096359,284.5400106,368.0869064,307,416
Iranian Azerbaijan,Neighbors,Male,20 - 24,20,2020,412.1428571,443.5142857,323.0479456,556.4238928,-31.37142857,-144.2810356,89.09491157,423.97122,443.5142857,429.0419718,323.0479456,556.4238928,404.4879789,486.3059766,389,473
Iranian Azerbaijan,Neighbors,Male,25 - 29,25,2020,554.2857143,524.9714286,401.082017,573.3896949,29.31428571,-19.10398057,153.2036972,470.1532913,524.9714286,490.5582205,401.082017,551.1194916,480.6417054,573.3896949,431,551
Iranian Azerbaijan,Neighbors,Male,30 - 34,30,2020,715.4285714,577.8285714,468.1005593,651.7559948,137.6,63.67257658,247.3280121,552.3471243,577.8285714,560.5361661,468.1005593,651.7559948,543.8012893,613.9850429,511,615
Iranian Azerbaijan,Neighbors,Male,35 - 39,35,2020,835.7142857,633.1007931,511.3635163,783.8193409,202.6134926,51.89494484,324.3507695,633.1007931,619.4857143,623.071259,511.3635163,783.8193409,577.2176852,664.8489124,576,674
Iranian Azerbaijan,Neighbors,Male,40 - 44,40,2020,960.4285714,670.6571429,507.7221835,867.4838528,289.7714286,92.94471863,452.7063879,663.6571373,670.6571429,662.4703327,507.7221835,867.4838528,615.1424023,731.1819208,610,712
Iranian Azerbaijan,Neighbors,Male,45 - 49,45,2020,1209.285714,870.865973,720.5922015,1052.478144,338.4197413,156.8075701,488.6935128,870.865973,863.6857143,861.7646726,720.5922015,1052.478144,812.2154669,918.417641,809,930
Iranian Azerbaijan,Neighbors,Male,50 - 54,50,2020,1721.142857,1163.255395,919.3326369,1471.897179,557.8874619,249.2456783,801.8102203,1163.255395,1096.942857,1123.891741,919.3326369,1471.897179,1005.886998,1196.241361,1058,1188
Iranian Azerbaijan,Neighbors,Male,55 - 59,55,2020,2120.857143,1544.065159,1450.435187,1643.739228,576.7919842,477.1179152,670.4219557,1544.065159,1517.485714,1532.17932,1450.435187,1643.739228,1482.66681,1553.122305,1464,1601
Iranian Azerbaijan,Neighbors,Male,60 - 64,60,2020,2875.428571,2061.570002,1584.772259,2302.194231,813.8585692,573.2343408,1290.656313,2061.570002,1768.228571,1925.926768,1846.095702,2302.194231,1584.772259,1972.922143,1714,2167
Iranian Azerbaijan,Neighbors,Male,65 - 69,65,2020,3250.714286,2051.775287,1688.336032,2453.488862,1198.938999,797.225424,1562.378253,2051.775287,1849.057143,1954.095557,1715.834905,2453.488862,1688.336032,2025.078096,1792,2120
Iranian Azerbaijan,Neighbors,Male,70 - 74,70,2020,3351.142857,2347.054866,1975.412829,2513.220053,1004.087992,837.9228039,1375.730029,2347.054866,2120.914286,2246.685053,2191.87593,2513.220053,1975.412829,2277.132831,2085,2424
Iranian Azerbaijan,Neighbors,Male,75 - 79,75,2020,3528.428571,2601,1900.471957,2965.731708,927.4285714,562.6968631,1627.956614,2141.545286,2601,2311.844688,1900.471957,2413.198571,2281.123738,2965.731708,2004,2593
Iranian Azerbaijan,Neighbors,Male,80+,99,2020,11430.85714,8768.897714,7043.625222,9197.536697,2661.959429,2233.320446,4387.231921,8768.897714,7693.8,8304.957768,8360.234881,9197.536697,7043.625222,8403.990357,7666,9118
Russia Dagestan,Neighbors,Female,0 - 4,0,2015,353,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,May-14,5,2015,72,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,15 - 19,15,2015,36,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,20 - 24,20,2015,45,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,25 - 29,25,2015,62,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,30 - 34,30,2015,76,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,35 - 39,35,2015,77,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,40 - 44,40,2015,105,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,45 - 49,45,2015,183,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,50 - 54,50,2015,228,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,55 - 59,55,2015,362,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,60 - 64,60,2015,383,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,65 - 69,65,2015,422,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,70 - 74,70,2015,462,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,75 - 79,75,2015,1342,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,80+,80,2015,3313,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,0 - 4,0,2015,483,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,May-14,5,2015,80,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,15 - 19,15,2015,69,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,20 - 24,20,2015,127,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,25 - 29,25,2015,166,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,30 - 34,30,2015,204,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,35 - 39,35,2015,227,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,40 - 44,40,2015,302,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,45 - 49,45,2015,429,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,50 - 54,50,2015,642,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,55 - 59,55,2015,783,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,60 - 64,60,2015,803,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,65 - 69,65,2015,657,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,70 - 74,70,2015,596,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,75 - 79,75,2015,1173,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,80+,80,2015,1926,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,0 - 4,0,2016,298,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,May-14,5,2016,49,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,15 - 19,15,2016,25,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,20 - 24,20,2016,30,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,25 - 29,25,2016,45,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,30 - 34,30,2016,58,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,35 - 39,35,2016,86,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,40 - 44,40,2016,115,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,45 - 49,45,2016,145,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,50 - 54,50,2016,245,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,55 - 59,55,2016,337,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,60 - 64,60,2016,448,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,65 - 69,65,2016,472,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,70 - 74,70,2016,370,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,75 - 79,75,2016,1291,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,80+,80,2016,3388,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,0 - 4,0,2016,398,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,May-14,5,2016,67,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,15 - 19,15,2016,59,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,20 - 24,20,2016,136,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,25 - 29,25,2016,136,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,30 - 34,30,2016,167,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,35 - 39,35,2016,204,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,40 - 44,40,2016,251,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,45 - 49,45,2016,418,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,50 - 54,50,2016,584,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,55 - 59,55,2016,798,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,60 - 64,60,2016,805,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,65 - 69,65,2016,737,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,70 - 74,70,2016,513,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,75 - 79,75,2016,1050,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,80+,80,2016,1994,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,0 - 4,0,2017,271,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,May-14,5,2017,51,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,15 - 19,15,2017,23,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,20 - 24,20,2017,36,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,25 - 29,25,2017,52,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,30 - 34,30,2017,53,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,35 - 39,35,2017,63,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,40 - 44,40,2017,97,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,45 - 49,45,2017,145,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,50 - 54,50,2017,226,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,55 - 59,55,2017,346,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,60 - 64,60,2017,407,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,65 - 69,65,2017,541,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,70 - 74,70,2017,394,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,75 - 79,75,2017,1148,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,80+,80,2017,3555,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,0 - 4,0,2017,327,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,May-14,5,2017,82,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,15 - 19,15,2017,65,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,20 - 24,20,2017,91,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,25 - 29,25,2017,138,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,30 - 34,30,2017,155,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,35 - 39,35,2017,166,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,40 - 44,40,2017,251,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,45 - 49,45,2017,364,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,50 - 54,50,2017,516,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,55 - 59,55,2017,764,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,60 - 64,60,2017,801,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,65 - 69,65,2017,813,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,70 - 74,70,2017,514,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,75 - 79,75,2017,958,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,80+,80,2017,2060,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,0 - 4,0,2018,200,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,May-14,5,2018,66,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,15 - 19,15,2018,27,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,20 - 24,20,2018,34,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,25 - 29,25,2018,40,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,30 - 34,30,2018,61,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,35 - 39,35,2018,78,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,40 - 44,40,2018,95,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,45 - 49,45,2018,127,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,50 - 54,50,2018,207,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,55 - 59,55,2018,347,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,60 - 64,60,2018,446,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,65 - 69,65,2018,475,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,70 - 74,70,2018,440,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,75 - 79,75,2018,903,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,80+,80,2018,3418,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,0 - 4,0,2018,288,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,May-14,5,2018,63,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,15 - 19,15,2018,54,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,20 - 24,20,2018,88,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,25 - 29,25,2018,104,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,30 - 34,30,2018,141,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,35 - 39,35,2018,172,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,40 - 44,40,2018,230,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,45 - 49,45,2018,345,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,50 - 54,50,2018,525,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,55 - 59,55,2018,757,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,60 - 64,60,2018,900,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,65 - 69,65,2018,806,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,70 - 74,70,2018,524,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,75 - 79,75,2018,862,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,80+,80,2018,2047,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,0 - 4,0,2019,201,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,May-14,5,2019,44,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,15 - 19,15,2019,29,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,20 - 24,20,2019,27,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,25 - 29,25,2019,25,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,30 - 34,30,2019,61,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,35 - 39,35,2019,85,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,40 - 44,40,2019,106,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,45 - 49,45,2019,139,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,50 - 54,50,2019,208,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,55 - 59,55,2019,358,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,60 - 64,60,2019,426,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,65 - 69,65,2019,532,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,70 - 74,70,2019,515,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,75 - 79,75,2019,807,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,80+,80,2019,3602,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,0 - 4,0,2019,253,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,May-14,5,2019,66,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,15 - 19,15,2019,41,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,20 - 24,20,2019,69,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,25 - 29,25,2019,106,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,30 - 34,30,2019,128,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,35 - 39,35,2019,144,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,40 - 44,40,2019,196,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,45 - 49,45,2019,317,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,50 - 54,50,2019,511,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,55 - 59,55,2019,764,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,60 - 64,60,2019,987,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,65 - 69,65,2019,866,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,70 - 74,70,2019,574,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,75 - 79,75,2019,656,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Male,80+,80,2019,2098,,,,,,,,,,,,,,,
Russia Dagestan,Neighbors,Female,0 - 4,0,2020,174,264.6,122,359.9040592,-90.6,-185.9040592,52,163.1007406,264.6,188.9781028,128.3552862,207.2517023,194.5328434,359.9040592,122,268
Russia Dagestan,Neighbors,Female,May-14,5,2020,51,56.4,22.00191806,94.4867403,-5.4,-43.4867403,28.99808194,45.59484092,56.4,45.72849296,22.00191806,94.4867403,43.33359607,73.40632416,27,62
Russia Dagestan,Neighbors,Female,15 - 19,15,2020,19,28,12.98531052,46.50522228,-9,-27.50522228,6.014689477,24.57406666,28,25.45248522,12.98531052,46.50522228,22.43178208,34.95041086,17,33
Russia Dagestan,Neighbors,Female,20 - 24,20,2020,30,34.4,14,44.09291493,-4.4,-14.09291493,16,25.77053025,34.4,26.71084676,15.24360683,43.56713188,26.83787184,44.09291493,14,39
Russia Dagestan,Neighbors,Female,25 - 29,25,2020,40,44.8,12,65.68995337,-4.8,-25.68995337,28,25.38509503,44.8,27.21755657,13.40839172,48.05968256,30.55322613,65.68995337,12,47
Russia Dagestan,Neighbors,Female,30 - 34,30,2020,59,61.8,34.02771182,86.00936555,-2.8,-27.00936555,24.97228818,54.09900095,61.8,56.17551482,34.02771182,86.00936555,52.00912318,73.43403939,40,76
Russia Dagestan,Neighbors,Female,35 - 39,35,2020,69,82.04587146,51.20417855,125.706487,-13.04587146,-56.70648696,17.79582145,80.22903093,77.8,82.04587146,51.20417855,125.706487,67.17225137,90.10923226,63,100
Russia Dagestan,Neighbors,Female,40 - 44,40,2020,115,103.6,74.28364302,130.1020666,11.4,-15.10206657,40.71635698,98.30796239,103.6,102.5414268,74.28364302,130.1020666,94.1421498,114.008019,83,121
Russia Dagestan,Neighbors,Female,45 - 49,45,2020,169,147.8,85.52058339,176.3235163,21.2,-7.323516293,83.47941661,118.5176958,147.8,126.5858996,85.52058339,164.2463563,123.8906781,176.3235163,93,162
Russia Dagestan,Neighbors,Female,50 - 54,50,2020,296,222.8,168.4045294,246,73.2,50,127.5954706,200.3298271,222.8,209.4340375,168.4045294,238.3073649,204.0184754,243.3105134,181,246
Russia Dagestan,Neighbors,Female,55 - 59,55,2020,516,350.6004002,313.9762037,391.4966776,165.3995998,124.5033224,202.0237963,350.6004002,350,348.7365751,313.9762037,391.4966776,337.7711045,362.6716387,314,384
Russia Dagestan,Neighbors,Female,60 - 64,60,2020,745,447.7947096,359.59655,557.6252107,297.2052904,187.3747893,385.40345,447.7947096,422,446.1154059,359.59655,557.6252107,389.2564736,457.4978506,401,492
Russia Dagestan,Neighbors,Female,65 - 69,65,2020,794,558.9997109,429.4695867,727.5967531,235.0002891,66.40324687,364.5304133,558.9997109,488.4,536.3435659,429.4695867,727.5967531,431.4163709,552.9103114,451,616
Russia Dagestan,Neighbors,Female,70 - 74,70,2020,812,491.5688512,319.1702065,757.0880069,320.4311488,54.91199314,492.8297935,491.5688512,436.2,464.6858413,319.1702065,757.0880069,370.7372037,513.2218675,403,527
Russia Dagestan,Neighbors,Female,75 - 79,75,2020,796,1098.2,531,1433.368171,-302.2,-637.3681715,265,722.1469034,1098.2,815.2061395,577.5568157,902.934804,841.4050654,1433.368171,531,1101
Russia Dagestan,Neighbors,Female,80+,99,2020,4485,3641.398169,3309.329163,3941.873265,843.6018313,543.1267349,1175.670837,3641.398169,3455.2,3581.239187,3363.827229,3941.873265,3309.329163,3607.500629,3411,3737
Russia Dagestan,Neighbors,Male,0 - 4,0,2020,242,349.8,161,484.7031154,-107.8,-242.7031154,81,207.630027,349.8,242.6834884,184.9572712,233.0820943,252.4432712,484.7031154,161,339
Russia Dagestan,Neighbors,Male,May-14,5,2020,58,71.6,42.20860449,92.49708376,-13.6,-34.49708376,15.79139551,62.48338039,71.6,64.94780855,42.20860449,92.49708376,61.53559315,83.31048321,49,81
Russia Dagestan,Neighbors,Male,15 - 19,15,2020,46,57.6,27.79431744,72.85566888,-11.6,-26.85566888,18.20568256,41.38671721,57.6,44.5038381,27.79431744,61.626279,45.53880365,72.85566888,28,64
Russia Dagestan,Neighbors,Male,20 - 24,20,2020,79,102.2,38.43794612,144.006412,-23.2,-65.00641199,40.56205388,61.18249118,102.2,69.84524384,38.43794612,97.38546423,72.5303815,144.006412,47,98
Russia Dagestan,Neighbors,Male,25 - 29,25,2020,117,130,68.0711296,166.2150286,-13,-49.21502858,48.9288704,90.09576946,130,100.5424257,68.0711296,119.2465546,101.6755232,166.2150286,73,130
Russia Dagestan,Neighbors,Male,30 - 34,30,2020,122,159,94,199.5858972,-37,-77.5858972,28,112.0089871,159,124.5624852,96.85607254,129.532541,126.6672664,199.5858972,94,169
Russia Dagestan,Neighbors,Male,35 - 39,35,2020,165,182.6,105.6633207,228.2484166,-17.6,-63.24841665,59.33667929,130.1225777,182.6,143.3822338,105.6633207,160.2437357,146.0810134,228.2484166,110,188
Russia Dagestan,Neighbors,Male,40 - 44,40,2020,265,246,152.9222968,298.8285276,19,-33.82852761,112.0777032,183.2863842,246,199.0233184,152.9222968,219.6795323,202.510786,298.8285276,154,244
Russia Dagestan,Neighbors,Male,45 - 49,45,2020,376,374.6,262,438.9492635,1.4,-62.94926349,114,293.2549719,374.6,314.7814441,266.1144327,323.1635267,319.6842361,438.9492635,262,377
Russia Dagestan,Neighbors,Male,50 - 54,50,2020,616,555.6,393.9622273,630.3636963,60.39999998,-14.36369627,222.0377727,465.5064351,555.6,492.1019089,393.9622273,550.0431922,489.703582,630.3636963,438,594
Russia Dagestan,Neighbors,Male,55 - 59,55,2020,983,773.2,705,812,209.8,171,278,749.7802205,773.2,757.1645624,708.2918788,793.6987503,752.4948498,794.4748594,705,812
Russia Dagestan,Neighbors,Male,60 - 64,60,2020,1295,1007.228962,762.2075623,1182.685427,287.7710376,112.3145731,532.7924377,1007.228962,859.2,956.8733177,857.8022183,1182.685427,762.2075623,968.5349196,834,1102
Russia Dagestan,Neighbors,Male,65 - 69,65,2020,1314,933.1708171,681.7975242,1059.937935,380.8291829,254.062065,632.2024758,933.1708171,775.8,883.9941463,821.564872,1059.937935,681.7975242,882.7630178,761,1018
Russia Dagestan,Neighbors,Male,70 - 74,70,2020,1066,544.2,408.2944933,699.3750387,521.8,366.6249613,657.7055067,534.3697007,544.2,538.37899,408.2944933,699.3750387,498.6731571,593.8832596,492,587
Russia Dagestan,Neighbors,Male,75 - 79,75,2020,871,939.8,506.1510732,1217.365428,-68.8,-346.3654282,364.8489268,623.6542968,939.8,690.4363013,506.1510732,768.4359522,725.5208827,1217.365428,510,944
Russia Dagestan,Neighbors,Male,80+,99,2020,2965,2146.867631,1943.841817,2261,818.1323686,704,1021.158183,2146.867631,2025,2110.058063,2055.353658,2242.456236,1943.841817,2109.546654,1979,2261
